Station Name,Region,Fuel Source - Descriptor,DUID,Technology
Ballarat Battery Energy Storage System,VIC1,Grid,BALBG1,Renewable
Ballarat Battery Energy Storage System,VIC1,Grid,BALBL1,Renewable
Dalrymple North Battery Energy Storage System,SA1,Grid,DALNTH01,Renewable
Dalrymple North Battery Energy Storage System,SA1,Grid,DALNTHL1,Renewable
Gannawarra Energy Storage System,VIC1,Grid,GANNBG1,Renewable
Gannawarra Energy Storage System,VIC1,Grid,GANNBL1,Renewable
Baking Board Solar Farm,QLD1,Solar,BAKING1,Renewable
Bannerton Solar Park,VIC1,Solar,BANN1,Renewable
Barcaldine Solar Farm,QLD1,Solar,BARCSF1,Renewable
"Beryl Solar Farm, Units 1-60",NSW1,Solar,BERYLSF1,Renewable
Bungala One Solar Farm,SA1,Solar,BNGSF1,Renewable
Bungala Two Solar Farm,SA1,Solar,BNGSF2,Renewable
Broken Hill Solar Plant,NSW1,Solar,BROKENH1,Renewable
Capital East Solar Farm,NSW1,Solar,CESF1,Renewable
Childers Solar Farm,QLD1,Solar,CHILDSF1,Renewable
Clare Solar Farm,QLD1,Solar,CLARESF1,Renewable
Clermont Solar Farm,QLD1,Solar,CLERMSF1,Renewable
Coleambally Solar Farm,NSW1,Solar,COLEASF1,Renewable
Collinsville Solar PV Power Station,QLD1,Solar,CSPVPS1,Renewable
Daydream Solar Farm,QLD1,Solar,DAYDSF1,Renewable
Daydream Solar Farm,QLD1,Solar,DAYDSF2,Renewable
"Darling Downs Solar Farm, Units 1-44",QLD1,Solar,DDSF1,Renewable
Emerald Solar Park,QLD1,Solar,EMERASF1,Renewable
Gannawarra Solar Farm,VIC1,Solar,GANNSF1,Renewable
Griffith Solar Farm,NSW1,Solar,GRIFSF1,Renewable
Gullen Range Solar Farm,NSW1,Solar,GULLRSF1,Renewable
Hamilton Solar Farm,QLD1,Solar,HAMISF1,Renewable
Haughton Solar Farm Stage 1,QLD1,Solar,HAUGHT11,Renewable
Hayman Solar Farm,QLD1,Solar,HAYMSF1,Renewable
Hughenden Solar Farm,QLD1,Solar,HUGSF1,Renewable
Karadoc Solar Farm,VIC1,Solar,KARSF1,Renewable
Kidston Solar Project,QLD1,Solar,KSP1,Renewable
Lilyvale Solar Farm,QLD1,Solar,LILYSF1,Renewable
Longreach Solar Farm,QLD1,Solar,LRSF1,Renewable
Manildra solar Farm,NSW1,Solar,MANSLR1,Renewable
Mugga Lane Solar Park,NSW1,Solar,MLSP1,Renewable
Moree Solar Farm,NSW1,Solar,MOREESF1,Renewable
Narromine Solar Farm,NSW1,Solar,NASF1,Renewable
Numurkah Solar Farm,VIC1,Solar,NUMURSF1,Renewable
Numurkah Solar Farm,VIC1,Solar,NUMURSF2,Renewable
Nyngan Solar Plant,NSW1,Solar,NYNGAN1,Renewable
Oakey 1 Solar Farm,QLD1,Solar,OAKEY1SF,Renewable
Parkes Solar Farm,NSW1,Solar,PARSF1,Renewable
Royalla Solar Farm,NSW1,Solar,ROYALLA1,Renewable
"Ross River Solar Farm, Units 1-64",QLD1,Solar,RRSF1,Renewable
Rugby Run Solar Farm,QLD1,Solar,RUGBYR1,Renewable
South Keswick Solar Farm,NSW1,Solar,SKSF1,Renewable
Sun Metals Solar Farm,QLD1,Solar,SMCSF1,Renewable
Susan River Solar Farm,QLD1,Solar,SRSF1,Renewable
"Tailem Bend Solar Project 1, Units 1-54",SA1,Solar,TBSF1,Renewable
Valdora Solar Farm,QLD1,Solar,VALDORA1,Renewable
"Wemen Solar Farm, Units 1-39",VIC1,Solar,WEMENSF1,Renewable
Whitsunday Solar Farm,QLD1,Solar,WHITSF1,Renewable
White Rock Solar Farm,NSW1,Solar,WRSF1,Renewable
Finley Solar Farm,NSW1,Solar,FINLYSF1,Renewable
Banimboola Power Station,VIC1,Water,BAPS,Renewable
Barron Gorge Power Station,QLD1,Water,BARRON-1,Renewable
Barron Gorge Power Station,QLD1,Water,BARRON-2,Renewable
Bastyan Power Station,TAS1,Water,BASTYAN,Renewable
Burrendong Hydro Power Station,NSW1,Water,BDONGHYD,Renewable
Blowering Power Station,NSW1,Water,BLOWERNG,Renewable
Brown Mountain Hydro Power Station,NSW1,Water,BROWNMT,Renewable
Burrinjuck Hydro Power Station,NSW1,Water,BURRIN,Renewable
Butlers Gorge Power Station,TAS1,Water,BUTLERSG,Renewable
Cethana Power Station,TAS1,Water,CETHANA,Renewable
Clover Power Station,VIC1,Water,CLOVER,Renewable
Cluny Power Station,TAS1,Water,CLUNY,Renewable
Copeton Hydro Power Station,NSW1,Water,COPTNHYD,Renewable
Dartmouth Power Station,VIC1,Water,DARTM1,Renewable
Devils Gate Power Station,TAS1,Water,DEVILS_G,Renewable
Eildon Power Station,VIC1,Water,EILDON1,Renewable
Eildon Power Station,VIC1,Water,EILDON2,Renewable
Eildon Power Station,VIC1,Water,EILDON3,Renewable
Fisher Power Station,TAS1,Water,FISHER,Renewable
Glenbawn Hydro Power Station,NSW1,Water,GLBWNHYD,Renewable
Glenmaggie Hydro Power Station,VIC1,Water,GLENMAG1,Renewable
Gordon Power Station,TAS1,Water,GORDON,Renewable
Guthega Power Station,NSW1,Water,GUTHEGA,Renewable
South East Water - Halllam Hydro Plant,VIC1,Water,HLMSEW01,Renewable
Hume (NSW) Hydro Power Station,NSW1,Water,HUMENSW,Renewable
Hume (Vic) Hydro Power Station,VIC1,Water,HUMEV,Renewable
John Butters Power Station,TAS1,Water,JBUTTERS,Renewable
Jindabyne Small Hydro Power Station,NSW1,Water,JNDABNE1,Renewable
Jounama Small Hydro Power Station,NSW1,Water,JOUNAMA1,Renewable
Kareeya Power Station,QLD1,Water,KAREEYA1,Renewable
Kareeya Power Station,QLD1,Water,KAREEYA2,Renewable
Kareeya Power Station,QLD1,Water,KAREEYA3,Renewable
Kareeya Power Station,QLD1,Water,KAREEYA4,Renewable
Kareeya Power Station,QLD1,Water,KAREEYA5,Renewable
Keepit Hydro Power Station,NSW1,Water,KEEPIT,Renewable
Lemonthyme / Wilmot Power Station,TAS1,Water,LEM_WIL,Renewable
Catagunya / Liapootah / Wayatinah Power Station,TAS1,Water,LI_WY_CA,Renewable
Lake Echo Power Station,TAS1,Water,LK_ECHO,Renewable
Mackintosh Power Station,TAS1,Water,MACKNTSH,Renewable
Bogong / Mackay Power Station,VIC1,Water,MCKAY1,Renewable
Meadowbank Power Station,TAS1,Water,MEADOWBK,Renewable
Murray Power Station,VIC1,Water,MURRAY,Renewable
Paloona Power Station,TAS1,Water,PALOONA,Renewable
Pindari Hydro Power Station,NSW1,Water,PINDARI,Renewable
Poatina Power Station,TAS1,Water,POAT110,Renewable
Poatina Power Station,TAS1,Water,POAT220,Renewable
Reece Power Station,TAS1,Water,REECE1,Renewable
Reece Power Station,TAS1,Water,REECE2,Renewable
Repulse Power Station,TAS1,Water,REPULSE,Renewable
Rowallan Power Station,TAS1,Water,ROWALLAN,Renewable
Rubicon Mountain Streams Station,VIC1,Water,RUBICON,Renewable
Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,Water,SHGEN,Renewable
Tarraleah Power Station,TAS1,Water,TARRALEA,Renewable
The Drop Power Station,NSW1,Water,THEDROP1,Renewable
Trevallyn Power Station,TAS1,Water,TREVALLN,Renewable
Tribute Power Station,TAS1,Water,TRIBUTE,Renewable
Tumut 3 Power Station,NSW1,Water,TUMUT3,Renewable
Tungatinah Power Station,TAS1,Water,TUNGATIN,Renewable
Tumut Power Station,NSW1,Water,UPPTUMUT,Renewable
Wivenhoe Power Station,QLD1,Water,W/HOE#1,Renewable
Wivenhoe Power Station,QLD1,Water,W/HOE#2,Renewable
William Hovell Power Station,VIC1,Water,WILLHOV1,Renewable
Wivenhoe Small Hydro,QLD1,Water,WIVENSH,Renewable
West Kiewa Power Station,VIC1,Water,WKIEWA1,Renewable
West Kiewa Power Station,VIC1,Water,WKIEWA2,Renewable
Wyangala A Power Station,NSW1,Water,WYANGALA,Renewable
Wyangala B Power Station,NSW1,Water,WYANGALB,Renewable
Yarrawonga Hydro Power Station,VIC1,Water,YWNGAHYD,Renewable
Ararat Wind Farm,VIC1,Wind,ARWF1,Renewable
Bald Hills Wind Farm,VIC1,Wind,BALDHWF1,Renewable
